game_id, game_period, game_seconds, event_type, new_game_seconds
2019030232, 3, 3570, "GOAL", 3571
2019021019, 2, 1805, "GOAL", 1806
2019020575, 3, 3515, "GOAL", 3516
2018021101, 3, 3227, "GOAL", 3228
2018020786, 4, 3760, "GOAL", 3761
2018020630, 4, 3874, "GOAL", 3875
2018020443, 2, 1313, "GOAL", 1315
2018020443, 3, 2577, "GOAL", 2580
2018020401, 2, 1919, "GOAL", 1920
2017020935, 4, 3899, "GOAL", 3900
2017020697, 3, 2809, "GOAL", 2811
2017020623, 2, 1867, "GOAL", 1868
2017020040, 4, 3869, "GOAL", 3871
2017020025, 3, 3246, "FAC", 3245
2017020020, 2, 1517, "FAC", 1513
2017020020, 3, 3378, "FAC", 3376
2016030245, 2, 1379, "FAC", 1375
2016030225, 3, 2848, "FAC", 2840
2016030142, 1, 518, "FAC", 511
2016030134, 3, 3573, "GOAL", 3574
2016030122, 2, 2161, "GOAL", 2162
2016030113, 3, 3336, "FAC", 3335
2016021202, 3, 2510, "FAC", 2507
2016021182, 3, 3404, "GOAL", 3406
2016021114, 2, 2080, "FAC", 2079
2016021088, 2, 1883, "GOAL", 1884
2016021046, 3, 2856, "GOAL", 2857
2016021043, 2, 1361, "FAC", 1359
2016021041, 2, 2151, "GOAL", 2155
2016021008, 1, 1105, "GOAL", 1106
2016020976, 1, 786, "FAC", 780
2016020957, 3, 2562, "FAC", 2560
2016020954, 1, 805, "GOAL", 806
2016020934, 1, 711, "GOAL", 712
2016020934, 1, 714, "FAC", 712
2016020934, 1, 895, "FAC", 894
2016020933, 3, 3516, "GOAL", 3517
2016020933, 3, 3577, "GOAL", 3578
2016020919, 3, 3547, "GOAL", 3548
2016020914, 3, 3600, "FAC", 3599
2016020912, 3, 3263, "GOAL", 3265
2016020907, 2, 2183, "FAC", 2181
2016020906, 2, 1735, "FAC", 1734
2016020786, 1, 534, "GOAL", 535
2016020776, 1, 588, "GOAL", 589
2016020774, 3, 3316, "FAC", 3315
2016020763, 2, 1555, "GOAL", 1556
2016020761, 1, 862, "GOAL", 864
2016020741, 3, 2791, "GOAL", 2792
2016020693, 3, 2820, "GOAL", 2821
2016020663, 2, 1975, "FAC", 1974
2016020661, 2, 2028, "FAC", 2027
2016020648, 1, 240, "GOAL", 241
2016020641, 2, 1342, "FAC", 1341
2016020628, 3, 2776, "FAC", 2766
2016020612, 3, 3547, "GOAL", 3548
2016020609, 3, 3535, "GOAL", 3540
2016020607, 3, 3529, "FAC", 3526
2016020606, 1, 893, "GOAL", 894
2016020606, 2, 1621, "GOAL", 1622
2016020586, 1, 566, "GOAL", 567
2016020554, 1, 932, "GOAL", 933
2016020551, 2, 2120, "GOAL", 2121
2016020536, 2, 1742, "GOAL", 1743
2016020521, 2, 2108, "GOAL", 2109
2016020520, 1, 527, "GOAL", 528
2016020508, 1, 60, "FAC", 55
2016020502, 3, 2666, "FAC", 2665
2016020463, 2, 1274, "GOAL", 1275
2016020367, 2, 1373, "FAC", 1357
2016020367, 2, 1375, "FAC", 1373
2016020335, 3, 2572, "GOAL", 2573
2016020333, 2, 2230, "FAC", 2228
2016020287, 3, 2950, "FAC", 2948
2016020284, 1, 355, "GOAL", 356
2016020255, 2, 1355, "FAC", 1354
2016020243, 3, 3388, "GOAL", 3389
2016020242, 2, 2295, "FAC", 2294
2016020179, 1, 976, "FAC", 975
2016020179, 3, 3211, "FAC", 3209
2016020163, 3, 2658, "GOAL", 2659
2016020055, 3, 3142, "GOAL", 3143
2016020045, 1, 58, "FAC", 56
